id,partner_country,partner_entity,collab_type,start_yr,intensity_0_3,directionality,sectors,local_leads,value_summary,risk_level,risk_notes,evidence_urls
OAIR-f831a1a1,CN,Beijing Computing Center,project,,1,two-way,AI/HPC/Data,,,M,OpenAIRE co-activity,
OAIR-f831a1a1,CN,Beijing Computing Center,project,,1,two-way,AI/HPC/Data,,,M,OpenAIRE co-activity,
OAIR-f831a1a1,CN,Beijing Computing Center,project,,1,two-way,AI/HPC/Data,,,M,OpenAIRE co-activity,
OAIR-00419bda,CN,Chinese Academy of Sciences,co-publication,2020,1,two-way,AI/HPC/Data,,,M,OpenAIRE co-activity,
OAIR-0962b61c,CN,Chinese Academy of Sciences,co-publication,2021,1,two-way,AI/HPC/Data,,,M,OpenAIRE co-activity,
OAIR-ef6f0ed8,CN,Chinese Academy of Sciences,co-publication,2022,1,two-way,AI/HPC/Data,,,M,OpenAIRE co-activity,
OAIR-2e7c2c33,CN,Chinese Academy of Sciences,co-publication,2023,1,two-way,AI/HPC/Data,,,M,OpenAIRE co-activity,
OAIR-1a744f76,CN,Chinese Academy of Sciences,co-publication,2024,1,two-way,AI/HPC/Data,,,M,OpenAIRE co-activity,
